scenario,LPI_final,CI_low,CI_high,time,LPI_final_true,CI_low_true,CI_high_true,overlap,residual_error_sd,residual_error_mean,dtbar,dtbar_variance,lpi_nocorrection,lpi_correction,lpi_variance,lpi_bias,CI_width_diff,CI_width_reldiff,percentile_LPIcorrected,percentile_LPInotcorrected,direction,N0,lambda,interaction,Observation_error,Process_error,Lag
scenario2B,0.9880610404409267,0.9692287621225326,1.0082801014335503,8,1.0004332958387734,1.0003984660010279,1.0004699601846343,0.17095644753802172,0.02166279960769334,-0.001789629677720117,0.001915465250413659,4.7962775063575456e-4,0.979772966421319,0.9814457534151152,4.8387728297019845e-4,-0.0016727869937962492,0.04717772702414137,0.048069622656145866,0.251,0.202,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9910238977019938,0.9718864342204302,1.011409682648054,9,1.000430288824311,1.0003955016530295,1.0004670251688232,0.09520543853628491,0.021654968976229438,-2.8837642135189914e-4,0.002347290269610836,4.796277507017974e-4,0.9850828147166768,0.9870057808651416,4.8484049222200187e-4,-0.0019229661484647664,0.04679159930832574,0.04740762436802694,0.348,0.287,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9937250088044962,0.9737748669963132,1.0149090536716563,10,1.0004316852478188,1.0003968976040996,1.0004684394478884,0.12250277817906408,0.016313382786025152,0.008137975121517916,0.00947807863327822,4.7962775045505405e-4,1.0068176521802599,1.0090281517170552,5.010262266351829e-4,-0.0022104995367953073,0.046609584664660725,0.046192551303296706,0.914,0.881,stable,892,1.5,0.1,0.05,0,0
scenario2B,0.9959272601029163,0.9723265337191318,1.021474206902351,11,1.0004310374009437,1.000396241805787,1.0004677602771632,0.041779634733968965,0.016664594775351992,-0.0038375360059539456,-0.011093605196963532,4.796277511401701e-4,0.9814252247122536,0.9838137400368892,4.557399422129993e-4,-0.002388515324635576,0.03453674739804448,0.03510496549555151,0.168,0.124,stable,892,1.5,0.1,0.05,0,0
scenario2C,1,1,1,1,1,1,1,NA,0.012757426228405724,-0.004221251785273628,NA,NA,1,1,NA,0,NA,NA,NA,NA,growth,892,1.5,0.1,0.05,0,0
scenario2C,1.0928470637618453,1.0771157199836368,1.1129850496699065,2,1.112564879512785,1.1125534305238445,1.1125763286195443,0.048546063727422456,0.017482117934789296,-0.0020506473032449015,0.050297930482374804,7.215085676363734e-4,1.1227884345813395,1.1231934853189363,9.09572567184508e-4,-4.0505073759677934e-4,0.0823544238338415,0.07332167156441133,0.998,0.998,growth,892,1.5,0.1,0.05,0,0
scenario2C,1.179583009990159,1.157994247432474,1.2054001627796236,3,1.222919620555734,1.2229045700718466,1.22293570165343,0.10948537617233185,0.012913575277276405,0.004310963518590727,0.031326749321487525,7.215085681945318e-4,1.2067704852116594,1.2075935707272774,8.334796324105185e-4,-8.230855156179384e-4,0.06576467015753444,0.05445927483526386,0.978,0.978,growth,892,1.5,0.1,0.05,0,0
scenario2C,1.2687809895101667,1.2450331049994818,1.2973793421648792,4,1.3232931195953472,1.3232764822526135,1.3233104011807693,0.1994186275163174,0.01683605478057741,-0.0016854003019265208,0.032110519618820645,7.215085683737496e-4,1.2993770726467144,1.3006517593517701,8.364934260556488e-4,-0.0012746867050557054,0.06102877146587697,0.04692168447632209,0.982,0.979,growth,892,1.5,0.1,0.05,0,0
scenario2C,1.3597890859064237,1.3330142074735294,1.3918107930437567,5,1.4184737212406102,1.418455889065816,1.4184922386983478,0.09707011670499559,0.015796418459957856,0.004121088202979251,0.03574038328512598,7.215085683537847e-4,1.4108329131202932,1.4126086362907626,8.505938915354672e-4,-0.0017757231704693677,0.05552999040793541,0.03931024416907604,0.999,0.997,growth,892,1.5,0.1,0.05,0,0
scenario2C,1.4505371583241635,1.4213717602125866,1.4843402463050779,6,1.5168175146743665,1.516798334602906,1.5168370493685819,0.12188754678948478,0.013748100025125661,5.063665281050733e-4,0.02310913957301895,7.21508568582851e-4,1.4879376130263573,1.490190853034269,8.025272210951028e-4,-0.0022532400079116055,0.04808084659454376,0.03226489177318691,0.986,0.982,growth,892,1.5,0.1,0.05,0,0
